Word,Time_s,Intensity_dB
your,1.51688,38.674771
your,1.5275459999999998,38.039666
your,1.5382129999999998,38.744381
your,1.54888,43.326541999999996
your,1.5595459999999999,50.285095
your,1.5702129999999999,55.417956999999994
your,1.5808799999999998,58.067823
your,1.591546,58.751895
your,1.6022129999999999,58.710723
your,1.6128799999999999,59.394326
your,1.623546,61.738949
your,1.634213,65.27502199999999
your,1.64488,68.974189
your,1.655546,72.257182
your,1.6662130000000002,74.798456
your,1.67688,76.49903499999999
your,1.687546,77.592883
your,1.6982130000000002,78.245795
your,1.70888,78.497068
your,1.719546,78.504304
your,1.730213,78.274128
your,1.74088,77.834742
your,1.7515459999999998,77.567239
your,1.762213,77.698953
your,1.77288,77.939642
your,1.7835459999999999,78.08636899999999
your,1.794213,78.21793000000001
your,1.8048799999999998,78.397285
your,1.8155459999999999,78.57082199999999
your,1.826213,78.603157
your,1.8368799999999998,78.436214
your,1.847546,78.16229799999999
your,1.8582130000000001,77.817464
your,1.8688799999999999,77.495102
your,1.879546,77.468352
your,1.8902130000000001,77.548745
your,1.90088,77.337395
your,1.911546,76.584851
your,1.9222130000000002,75.277134
your,1.93288,73.541627
your,1.943546,70.933718
your,1.9542130000000002,67.182901
your,1.96488,63.7106
your,1.9755459999999998,60.684946
your,1.986213,56.718511
your,1.99688,51.790372999999995
your,2.007546,48.836420000000004
good,2.0182130000000003,48.92742
good,2.02888,52.23916
good,2.039546,58.185738
good,2.0502130000000003,66.70415
good,2.06088,73.733584
good,2.071546,78.072941
good,2.0822130000000003,80.360613
good,2.09288,81.23959599999999
good,2.1035459999999997,80.912561
good,2.114213,79.295142
good,2.12488,76.330939
good,2.1355459999999997,72.45849
good,2.146213,67.588741
good,2.15688,62.016505
good,2.1675459999999998,58.672437
good,2.178213,57.335793
good,2.1888799999999997,55.370415
good,2.199546,53.557225
good,2.210213,52.591514000000004
good,2.2208799999999997,51.122685
good,2.231546,48.453781
good,2.242213,46.077665
good,2.2528799999999998,44.302673999999996
good,2.263546,44.62332
pants,2.295546,43.823701
pants,2.306213,43.012640000000005
pants,2.31688,43.868233000000004
pants,2.327546,47.997017
pants,2.338213,54.541270999999995
pants,2.34888,57.635090000000005
pants,2.359546,57.969071
pants,2.370213,57.979653000000006
pants,2.38088,58.256822
pants,2.391546,57.813936
pants,2.402213,57.185458999999994
pants,2.41288,56.744329
pants,2.423546,57.907886
pants,2.434213,62.83361899999999
pants,2.44488,67.120879
pants,2.455546,69.445471
pants,2.466213,71.223063
pants,2.47688,73.052604
pants,2.487546,74.185509
pants,2.4982130000000002,74.506284
pants,2.50888,74.397071
pants,2.519546,74.226345
pants,2.5302130000000003,73.822314
pants,2.54088,73.221752
pants,2.551546,73.083877
pants,2.5622130000000003,73.60631500000001
pants,2.57288,74.037425
pants,2.583546,73.87481899999999
pants,2.594213,73.43048399999999
pants,2.60488,72.799921
pants,2.6155459999999997,71.57790899999999
pants,2.626213,70.65737800000001
pants,2.63688,70.775136
pants,2.6475459999999997,70.997686
pants,2.658213,70.701409
pants,2.66888,69.741373
pants,2.6795459999999998,69.064915
pants,2.690213,69.466952
pants,2.7008799999999997,69.315435
pants,2.711546,67.847358
pants,2.722213,64.90030300000001
pants,2.7328799999999998,60.241704000000006
pants,2.743546,54.143440000000005
pants,2.754213,50.242208000000005
pants,2.76488,49.4478
pants,2.775546,48.37343
pants,2.786213,47.996466999999996
pants,2.79688,49.563905
pants,2.807546,51.663888
pants,2.818213,54.53999399999999
pants,2.82888,56.924889
pants,2.839546,58.232387
pants,2.850213,58.872339000000004
pants,2.86088,59.228531000000004
pants,2.871546,59.420564
pants,2.882213,59.094683999999994
pants,2.89288,58.400288
pants,2.903546,57.790826
pants,2.914213,56.481538
pants,2.92488,53.619105000000005
pants,2.935546,49.059351
pants,2.946213,43.211954999999996
pants,2.95688,38.457837
pants,2.967546,36.741933
pants,2.978213,37.030578000000006
look,2.999546,38.592633
look,3.0102130000000002,42.762205
look,3.02088,45.154546999999994
look,3.031546,44.175965000000005
look,3.0422130000000003,43.157278999999996
look,3.05288,45.123736
look,3.063546,45.945254
look,3.0742130000000003,52.488937
look,3.08488,59.800784
look,3.095546,64.228146
look,3.106213,66.934074
look,3.11688,68.47834399999999
look,3.1275459999999997,69.0492
look,3.138213,69.389399
look,3.14888,70.763581
look,3.1595459999999997,72.70016899999999
look,3.170213,74.412048
look,3.1808799999999997,76.19848499999999
look,3.1915459999999998,77.77763399999999
look,3.202213,78.435062
look,3.2128799999999997,77.503325
look,3.223546,74.238233
look,3.234213,68.364112
look,3.2448799999999998,62.187902
look,3.255546,59.036387
look,3.266213,58.290766000000005
look,3.2768800000000002,57.518407999999994
look,3.287546,55.979092
look,3.2982129999999996,53.844094999999996
look,3.3088800000000003,50.693363
look,3.319546,46.933487
look,3.3302129999999996,44.653188
look,3.3408800000000003,43.742519
look,3.351546,42.557332
look,3.3622129999999997,41.512005
look,3.3728800000000003,41.148976
great,3.383546,40.366424
great,3.3942129999999997,39.980056
great,3.4048800000000004,42.818701000000004
great,3.415546,49.216181
great,3.4262129999999997,52.825223
great,3.4368800000000004,55.294775
great,3.447546,60.82187
great,3.4582129999999998,66.09903100000001
great,3.4688800000000004,69.408273
great,3.479546,71.996629
great,3.490213,74.610979
great,3.5008800000000004,76.871669
great,3.511546,78.13982800000001
great,3.522213,77.68289
great,3.5328800000000005,75.129797
great,3.543546,71.776861
great,3.554213,70.171686
great,3.5648800000000005,68.60887
great,3.575546,66.570261
great,3.586213,65.88701
great,3.59688,65.304141
great,3.6075459999999997,63.775830000000006
great,3.618213,62.685339
great,3.62888,61.600182999999994
great,3.6395459999999997,60.691902
great,3.650213,59.99900699999999
great,3.66088,57.285815
great,3.6715459999999998,51.798046
great,3.682213,46.851433
great,3.69288,44.765991
great,3.703546,43.263642
great,3.7142129999999995,43.125948
great,3.72488,43.023579
great,3.735546,42.852866999999996
great,3.7462129999999996,43.331884
great,3.75688,42.50632
great,3.767546,41.49026
great,3.7782129999999996,40.2443
great,3.7888800000000002,38.601731
great,3.799546,39.348597999999996
great,3.8102129999999996,43.661279
great,3.8208800000000003,47.859549
great,3.831546,50.312121999999995
great,3.8422129999999997,51.952543
great,3.8528800000000003,53.256972
great,3.863546,53.839247
great,3.8742129999999997,53.618242
great,3.8848800000000003,52.970661
great,3.895546,52.531718000000005
great,3.9062129999999997,51.76509
great,3.9168800000000004,50.761788
great,3.927546,50.855768
great,3.9382129999999997,51.191986
great,3.9488800000000004,49.922497
great,3.959546,47.766574
great,3.9702129999999998,46.394359
great,3.9808800000000004,45.592426
great,3.991546,44.821068
great,4.002212999999999,44.36114
great,4.01288,43.585258
great,4.023546,42.611838
great,4.034212999999999,41.500483
great,4.04488,41.828206
great,4.055546,43.426101
great,4.066212999999999,43.331509999999994
great,4.07688,42.031542
great,4.087546,41.154866
great,4.098212999999999,40.251678000000005
great,4.10888,38.805436
great,4.119546,39.112074
great,4.1302129999999995,41.641918
